"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CutOff","Gender","Age","Degree","University","Subject","GenAIUse","TypesOfAI[SQ001]","TypesOfAI[SQ002]","TypesOfAI[SQ003]","TypesOfAI[SQ004]","TypesOfAI[SQ005]","TypesOfAI[other]","AmoutUniAI","AIUniApplications[SQ001]","AIUniApplications[SQ002]","AIUniApplications[SQ003]","AIUniApplications[SQ004]","AIUniApplications[SQ005]","AIUniApplications[SQ006]","AIUniApplications[SQ007]","AIUniApplications[other]","AIFreq","AIOutcomes[SQ001]","AIOutcomes[SQ002]","AIOutcomes[SQ003]","AIOutcomes[SQ004]","AIOutcomes[SQ005]","AIOutcomes[SQ008]","AIOutcomes[SQ006]","AIOutcomes[SQ007]","RestrictionPolicy","RestrictionPolicy[other]","AIforStudAssess","EducatorsAIExp","EducatorsAIExp[other]","AIforMaterials","FearOfAI[SQ001]","FearOfAI[SQ002]","FearOfAI[SQ003]","FurtherAI[SQ001]","FurtherAI[SQ002]","FurtherAI[SQ003]","FurtherAI[SQ004]","ReaonsAgainstAI","Feedback"
"26","2024-01-17 15:41:44","6","de","1906412896","2024-01-17 15:36:31","2024-01-17 15:41:44","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Uni Tübingen ","Empirische Bildungsforschung und Pädagogische Psychologie ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Nein","Ja","Ja","Nein","Ja","Ja","Nein","Um einen umfangreichen Überblick zu bekommen ","An einigen wenigen Wochentagen (On just a few days of the week)","teils teils (Neutral)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils","trifft eher zu","trifft eher nicht zu","trifft eher zu","",""
"27","2024-01-17 15:48:25","6","de","1710285412","2024-01-17 15:36:46","2024-01-17 15:48:25","Ja (Yes)","Weiblich (Female)","23","Bachelor (Bachelors Degree)","Eberhard Karls Universität Tübingen","Geowissenschaften","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Ja (Yes)","teils teils (Neutral)","trifft eher zu (Agree)","trifft gar nicht zu (Strongly Disagree)","teils teils","trifft eher nicht zu","teils teils","trifft eher nicht zu","Ich sehe keinen Grund dazu. Wenn ich etwas selber kann, mache ich es selber, und wenn nicht bin ich ja an der Uni um es zu lernen. Nicht um es eine KI machen zu lassen. Den einen Schritt beim Lösen einer Aufgabe, den man mit KI im Vergleich zum googeln/in einem Buch nachschlagen spart, halte ich für wenig sinnvoll, auszusparen: Das Übertragen von einem generellen Prinzip/Anleitung/ähnlichen Aufgabe auf die ganz konkrete Fragestellung/Rechenaufgabe. Das kann KI, wie ich höre. Aber wie gesagt, ich bin ja hier, um zu lernen...","Bei kreativen Aufgaben halte ich es tatsächlich für unmoralisch, generative KI einzusetzen. Die klaut schließlich auch nur effektiv von sehr, sehr vielen Künstlern im Internet gleichzeitig. 
Wenn man sich dadurch eine Chemie- oder Programmieraufgabe lösen lassen will, um einmal zu sehen, wie es richtig ginge, verstehe ich das schon. Vielleicht wird es irgendwann auch unumgänglich, dass ich das auch mache, wer weiß. 

Aber wenn es um wichtige Dinge geht, die tatsächlich dringend richtig sein sollten, vertraue ich generativen KIs bei weitem nicht genug. Ich habe von zu vielen Beispielen gehört, wo sie absurd falsche Antworten auf Dinge gegeben haben, oder sich Fakten einfach ""ausgedacht"" haben. Die KI weiß schließlich nicht, was wahr ist. Sie kann ja nur fortgeschritten klauen, nicht wirklich denken, und hat kein Konzept von Wahrheit."
"28","","1","de","1537993433","2024-01-17 15:37:04","2024-01-17 15:37:08","Ja (Yes)","","","","","","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","2024-01-17 15:43:01","6","de","380517127","2024-01-17 15:37:50","2024-01-17 15:43:01","Ja (Yes)","Männlich (Male)","22","Bachelor (Bachelors Degree)","Tübingen","Computational Linguistics","Ja (Yes)","Ja","Ja","Nein","Nein","Nein","","90","Nein","Nein","Nein","Nein","Nein","Nein","Nein","explain code snippets","Weniger als einmal pro Monat (Less than once a month)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","teils teils (Neutral)","teils teils (Neutral)","teils teils (Neutral)","trifft eher zu","trifft eher nicht zu","trifft eher zu","teils teils","",""
"30","2024-01-17 15:41:08","6","de","1789347669","2024-01-17 15:38:59","2024-01-17 15:41:08","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Universität Tübingen","Geschichtswissenschaft/Skandinavistik","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Restriktiver Umgang (KI zur Bearbeitung studentischer Aufgaben generell verbieten) / Restrictive handling (generally prohibit AI for processing student tasks)","","Nein (No)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Ja (Yes)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft gar nicht zu.","trifft gar nicht zu.","trifft eher zu","teils teils","",""
"31","","2","de","1149091351","2024-01-17 15:39:25","2024-01-17 15:39:48","Ja (Yes)","Männlich (Male)","21","Bachelor (Bachelors Degree)","Tübingen","IBA","","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","2024-01-17 15:44:58","6","de","1355844589","2024-01-17 15:40:04","2024-01-17 15:44:58","Ja (Yes)","Männlich (Male)","26","Master (Masters Degree)","Universität Tübingen","NwT & Chemie Lehramt","Ja (Yes)","Ja","Nein","Ja","Nein","Nein","","85","Ja","Nein","Ja","Nein","Ja","Ja","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher zu","trifft eher zu","trifft gar nicht zu.","trifft voll zu","",""
"33","2024-01-17 15:45:26","6","de","1093406746","2024-01-17 15:40:59","2024-01-17 15:45:26","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","University of Perugia","Political Science","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Nein","Ja","Ja","Nein","Ja","Ja","Nein","","An den meisten Wochentagen (On most days of the week)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Nein (No)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","teils teils","teils teils","trifft eher zu","trifft eher zu","",""
"34","2024-01-17 15:48:11","6","de","1965185586","2024-01-17 15:45:04","2024-01-17 15:48:11","Ja (Yes)","Männlich (Male)","24","Master (Masters Degree)","University of Tuebingen","Neural and Behavioral Sciences","Ja (Yes)","Ja","Ja","Nein","Ja","Nein","","90% for University ","Nein","Ja","Nein","Ja","Ja","Ja","Ja","","Täglich (Daily)","trifft eher zu (Agree)","teils teils (Neutral)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Ja (Yes)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Nein (No)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu.","trifft eher zu","trifft gar nicht zu.","trifft voll zu","",""
"35","2024-01-17 15:59:47","6","de","1812730478","2024-01-17 15:47:31","2024-01-17 15:59:47","Ja (Yes)","Weiblich (Female)","27","Master (Masters Degree)","Universität Tübingen ","Politikwissenschaft ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Ja","Nein","Nein","Nein","Ja","Ja","Nein","Getting ideas for research questions, understanding complex concepts","Einige Male pro Monat (a couple times a month)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","teils teils","trifft eher nicht zu","trifft voll zu","teils teils","",""
"36","2024-01-17 15:53:14","6","de","244138495","2024-01-17 15:51:06","2024-01-17 15:53:14","Ja (Yes)","Männlich (Male)","22","Master (Masters Degree)","Tübingen","Humanmedizin","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","50","Ja","Ja","Ja","Nein","Nein","Nein","Nein","","An den meisten Wochentagen (On most days of the week)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Einige Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (Some lecturers in my degree program should have knowledge of AI)","","Ja (Yes)","trifft eher zu (Agree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu","trifft eher zu","trifft eher nicht zu","trifft voll zu","",""
"37","2024-01-17 16:11:41","6","de","365486670","2024-01-17 15:52:31","2024-01-17 16:11:41","Ja (Yes)","Weiblich (Female)","26","Master (Masters Degree)","Eberhardt-Karls Universität Tübingen","Bioinformatik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","100","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Um Überblicke über Herangehensweisen in einem Problemfeld zu erlangen","An einigen wenigen Wochentagen (On just a few days of the week)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","teils teils (Neutral)","trifft gar nicht zu (Strongly Disagree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Unentschlossen (Undecided)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft voll zu","trifft eher nicht zu","teils teils","teils teils","",""
"38","2024-01-17 15:57:24","6","de","826485176","2024-01-17 15:53:38","2024-01-17 15:57:24","Ja (Yes)","Männlich (Male)","33","Master (Masters Degree)","Tübingen","Politikwissenschaft","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","90","Nein","Nein","Ja","Nein","Ja","Ja","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Dozenten in meinem Studiengang benötigen keine KI-Kenntnisse (Lecturers in my degree program do not need any AI knowledge)","","Ja (Yes)","trifft voll zu (Strongly Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher zu","teils teils","teils teils","trifft eher nicht zu","",""
"39","2024-01-17 16:14:31","6","de","337675858","2024-01-17 15:55:43","2024-01-17 16:14:31","Ja (Yes)","Männlich (Male)","26","Master (Masters Degree)","Universität Tübingen","Machine Learning","Nein (No)","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","Sonstiges","Reframe their teaching/examination, so that it is interesting enough to not be replacable by a LLM. Note to students that their output is unreliable.","Nein (No)","Sonstiges","Yes, but my study is an outlier, since this is exactly what it is about. (Although it's unclear what ""AI"" means here/in general)","Nein (No)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","trifft gar nicht zu (Strongly Disagree)","trifft voll zu","trifft eher nicht zu","trifft eher nicht zu","trifft voll zu","It's useful for generic questions, which have been asked many times in its training data. However, for most intricate/more niche questions, such large language models produces either unhelpful or subtly wrong answers.","The training data for these kind of models contain data taken without consent (and is thus stolen)."
"40","2024-01-17 16:00:31","6","de","1683239213","2024-01-17 15:57:00","2024-01-17 16:00:31","Ja (Yes)","Weiblich (Female)","21","Bachelor (Bachelors Degree)","Eberhard-Karls-Universität Tübingen ","Lehramt ","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","70","Nein","Ja","Nein","Nein","Ja","Nein","Nein","","Einige Male pro Monat (a couple times a month)","teils teils (Neutral)","teils teils (Neutral)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Moderater Umgang (KI in abgesprochenen Ausnahmefällen zulassen) / Moderate handling (allow AI in agreed exceptional cases)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","teils teils (Neutral)","trifft eher zu (Agree)","teils teils (Neutral)","trifft gar nicht zu.","trifft eher zu","trifft eher nicht zu","teils teils","",""
"41","2024-01-17 16:04:57","6","de","700978745","2024-01-17 15:59:10","2024-01-17 16:04:57","Ja (Yes)","Weiblich (Female)","24","Master (Masters Degree)","Tübingen","Computerlinguistik","Ja (Yes)","Ja","Nein","Nein","Nein","Nein","","80","Ja","Ja","Nein","Nein","Ja","Ja","Nein","","Täglich (Daily)","trifft eher zu (Agree)","teils teils (Neutral)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft eher nicht zu (Disagree)","trifft voll zu (Strongly Agree)","trifft eher zu (Agree)","trifft voll zu (Strongly Agree)","Offener Umgang (KI generell überall zulassen) / Open approach (generally allow AI everywhere)","","Nein (No)","Alle Dozenten in meinem Studiengang sollten KI-Kenntnisse haben (All lecturers in my degree program should have knowledge of AI)","","Unentschlossen (Undecided)","trifft eher zu (Agree)","trifft eher zu (Agree)","trifft eher nicht zu (Disagree)","trifft voll zu","trifft voll zu","trifft voll zu","trifft eher zu","",""
